ID1,ID2,Name,Description,Type,Values,Codes,Required?,Example,Notes
30,3.1.10,dependencies_downstream_exist,"determination of the presence of the code, databases, and functionality that depend on the application",integer,"true
false","0
1",yes,1,
31,3.1.11,scalability_adaptability,the degree to which an application can be scaled to onboard new users and can it be augmented to fit the needs of new user groups,integer,"very low scalability/adaptability
low scalability/adaptability
moderate scalability/adaptability
high scalability/adaptability
very high scalability/adaptability","1
2
3
4
5",yes,3,Likert scale
32,3.1.12,security_standards,the degree to which an application is protected against security attacks and conforms to agency risk tolerance models,integer,"very low security standards
low security standards
moderate security standards
high security standards
very high security standards","1
2
3
4
5",yes,4,Likert scale
33,3.2.1,dependencies_upstream_identity,"determination of the code, databases, and functionality on which the application depends",integer,"true
false","0
1",yes,1,
34,3.2.2,dependencies_downstream_identity,"determination of the code, databases, and functionality that depend on the application",integer,"true
false","0
1",yes,1,
35,3.3.1,duplication,review of the application inventory for duplication ,integer,"true
false","0
1",yes,1,
36,4.0.1,TCO,the sum of current-state direct and indirect costs associated with owning and operating an application over a given year,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,2000000,USD
37,4.1.1,OpEx_internal_labor,"annual operating expenditures associated with internal labor force, including wages, benefits, expenses, occupancy, and other expenses",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
38,4.1.2,OpEx_external_labor,"annual operating expenditures associated with external labor force, including contractor fees, travel, and other expenses",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
39,4.1.3,OpEx_outside_services,"annual operating expenditures associated with outside services, including consulting, managed service providers, and cloud service providers",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
40,4.1.4,OpEx_outside_services_consulting,annual operating expenditures associated with external consulting services,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
41,4.1.5,OpEx_outside_services_managed_service_providers,"annual operating expenditures associated with external, managed service providers",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
42,4.1.6,OpEx_outside_services_cloud_service_providers,"annual operating expenditures associated with external cloud service providers, including IaaS, PaaS, and SaaS",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
43,4.1.7,OpEx_software,"annual operating expenditures associated with software, including non-capitalized software purchases, leases, maintenance and support, and depreciation",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
44,4.1.8,OpEx_software_expense,annual operating expenditures associated with non-capitalized software purchases,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
45,4.1.9,OpEx_software_licensing,annual operating expenditures associated with non-SaaS software licensing,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
46,4.1.10,OpEx_software_maintenance_support,annual operating expenditures associated with software maintenance and support,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
47,4.1.11,OpEx_software_depreciation,annual depreciation of capitalized software purchases,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
48,4.1.12,OpEx_hardware,"annual operating expenditures associated with physical hardware assets, including non-capitalized hardware purchases, leases, maintenance and support, and depreciation",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
49,4.1.13,OpEx_hardware_expense,annual operating expenditures associated with non-capitalized hardware purchases,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
50,4.1.14,OpEx_hardware_lease,annual operating expenditures associated with hardware leases,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
51,4.1.15,OpEx_hardware_maintenance_support,annual operating expenditures associated with hardware maintenance and support,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
52,4.1.16,OpEx_hardware_depreciation,annual depreciation of capitalized hardware purchases,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
53,4.1.17,OpEx_facilities_and_power,"annual operating expenditures associated with facilities and power, including operating expenses, leases, maintenance and support, and depreciation",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
54,4.1.18,OpEx_facilities_and_power_expense,"annual expenses associated with space, power, and security, and other miscellaneous operating expenses",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
55,4.1.19,OpEx_facilities_and_power_lease,annual operating expenditures associated with data center leases,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
56,4.1.20,OpEx_facilities_and_power_maintenance_and_support,annual operating expenditures associated with data center maintenance and support,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
57,4.1.21,OpEx_facilities_and_power_depreciation,annual data center depreciation related to facility build and leasehold improvements,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
58,4.1.22,OpEx_telecom,"annual operating expenditures associated with telecom, including expenses, leases, maintenance and support, and depreciation",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
59,4.1.23,OpEx_telecom_expense,"annual operating expenses associated with space, power, and security, and other miscellaneous operating expenses",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
60,4.1.24,OpEx_telecom_lease,annual operating expenditures associated with telecom leases,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
61,4.1.25,OpEx_telecom_maintenance_and_support,annual operating expenditures associated with telecom maintenance and support,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
62,4.1.26,OpEx_telecom_depreciation,"annual depreciation of capitalized telecom
expenditures",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
63,4.1.27,OpEx_other,annual miscellaneous operating expenditures,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
64,4.1.28,OpEx_internal_services,annual charges from other intragovernmental groups that provide shared services,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
65,4.1.29,CapEx_internal_labor,annual expenditures for internal labor above the capitalization threshold,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
66,4.1.30,CapEx_external_labor,annual expenditures for external labor above the capitalization threshold,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
67,4.1.31,CapEx_hardware,annual hardware expenditures above the capitalization threshold,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
68,4.1.32,CapEx_software,annual software license expenditures above the capitalization threshold,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
69,4.1.33,CapEx_outside_services,annual expenditures for outside services above the capitalization threshold,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
70,4.1.34,CapEx_facilities_and_power,"annual expenditures related to land, facilities, and capitalized improvements, including capitalized expenditures related to power",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
71,4.1.35,CapEx_telecom,annual expenditures related to telecom assets above the capitalization threshold,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
72,4.1.36,IT_Tower_data_center,annual expenditures associated with purpose-built facilities for computer equipment,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
73,4.1.37,IT_Tower_data_center_enterprise,annual expenditures associated with purpose-built facilities required to operate and protect data centers,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
74,4.1.38,IT_Tower_data_center_other facilities,annual expenditures associated with general purpose office space/buildings used to house IT equipment,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
75,4.1.39,IT_Tower_compute,"annual expenditures associated with general and special-purpose devices and software, including direct costs of hardware, software, labor, and outside support services",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
76,4.1.40,IT_Tower_compute_servers,"annual expenditures associated with physical and virtual servers, including direct costs of hardware, software, labor, and outside support services",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
77,4.1.41,IT_Tower_compute_unix,"annual expenditures associated with servers that run Unix-based operating systems, including direct costs of hardware, software, labor, and outside support services",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
78,4.1.42,IT_Tower_compute_midrange,"annual expenditures associated with servers running on an IBM AS/400 platform, including direct costs of hardware, software, labor, and outside support services",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
79,4.1.43,IT_Tower_compute_converged_infrastructure,"annual expenditures associated with purpose-built appliances that combine compute, storage, and network capabilities into a single package",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
80,4.1.44,IT_Tower_compute_high_performance,annual expenditures associated with HPC,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
81,4.1.45,IT_Tower_compute_mainframe,annual expenditures associated with purpose-built mainframe computers,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
82,4.1.46,IT_Tower_storage,"annual expenditures associated with centralized storage for all applications, excluding internal storage on servers and end-user devices",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
83,4.1.47,IT_Tower_storage_online,"annual expenditures associated with online storage resources required for distributed compute infrastructure, including hardware, software, and labor costs.",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
84,4.1.48,IT_Tower_storage_offline,"annual expenditures associated with offline storage resources required for archive, backup, and recovery to support distributed compute infrastructure",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
85,4.1.49,IT_Tower_storage_mainframe_online,"annual expenditures associated with mainframe storage arrays, including direct costs of required hardware, software, and labor.",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
86,4.1.50,IT_Tower_storage_mainframe_offline,"annual expenditures associated with offline storage resources for archive, backup, and recovery processes to support mainframe storage",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
87,4.1.51,IT_Tower_network,"annual expenditures associated with data and voice equipment, and corresponding transport methods",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
88,4.1.52,IT_Tower_network_LAN_WAN,"annual expenditures associated with LAN and WAN equipment, labor, and support services",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
89,4.1.53,IT_Tower_network_voice,annual expenditures associated with on-premises voice resources,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
90,4.1.54,IT_Tower_network_transport,annual expenditures associated with data and voice network circuits and corresponding facilities and services,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
91,4.1.55,IT_Tower_platform,annual expenditures associated with distributed and mainframe databases,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
92,4.1.56,IT_Tower_platform_database,"annual expenditures associated with distributed database services that emphasize the physical database, including DBAs, DBMS, tools, and operational support",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
93,4.1.57,IT_Tower_platform_middleware,"annual expenditures associated with distributed platform, application, and system integration resources",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
94,4.1.58,IT_Tower_platform_mainframe_database,"annual expenditures associated with mainframe database services that emphasize the physical database, including DBAs, DBMS, tools, and operational support",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
95,4.1.59,IT_Tower_platform_mainframe_middleware,"annual expenditures associated with mainframe platform, application, and system integration resources",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
96,4.1.60,IT_Tower_platform_container_orchestration,annual expenditures associated with tools and resources required for container orchestration,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
97,4.1.61,IT_Tower_platform_big_data,"annual expenditures associated with integrating, managing, and analyzing big data",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
98,4.1.62,IT_Tower_output_central_print,annual expenditures associated with central printing services,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
99,4.1.63,IT_Tower_end_user,annual expenditures associated with end user devices and support for end users,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
100,4.1.64,IT_Tower_end_user_workspace,"annual expenditures associated with desktop and laptop computers, monitors, personal printers, and other peripherals",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
101,4.1.65,IT_Tower_end_user_mobile,"annual expenditures associated with smartphones, tablets, and apps",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
102,4.1.66,IT_Tower_end_user_end_user_software,annual expenditures associated with the software used by individuals to create and collaborate on documents and other content,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
103,4.1.67,IT_Tower_end_user_network_printers,annual expenditures associated with network (non-personal) printers,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
104,4.1.68,IT_Tower_end_user_conference_AV,annual expenditures associated with audio and video conferencing equipment,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
105,4.1.69,IT_Tower_end_user_help_desk,annual expenditures associated with a centralized Tier 1 IT help desk,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
106,4.1.70,IT_Tower_end_user_deskside_support,annual expenditures associated with deskside support to resolve IT issues,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
107,4.1.71,IT_Tower_application,"annual expenditures associated with application development, support and operations, and licensing, maintenance, and support ",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
108,4.1.72,IT_Tower_application_application_development,"annual expenditures associated with application analysis, design, development, code, test, release packaging services, and quality assurance",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
109,4.1.73,IT_Tower_application_support_operations,annual expenditures associated the operation and support of existing applications,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
110,4.1.74,IT_Tower_application_business_software,"annual expenditures associated with licensing, maintenance, and support of off-the-shelf business software",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
111,4.1.75,IT_Tower_delivery,"annual expenditures associated with enterprise-wide monitoring, support, management, and operations",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
112,4.1.76,IT_Tower_delivery_services_management,"annual expenditures associated with incident, problem, and change management activities, excluding Tier 1 help desk activities",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
113,4.1.77,IT_Tower_delivery_program_product_project_management,"annual expenditures associated with managing and supporting IT-related projects, and with continuous development of IT-related products",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
114,4.1.78,IT_Tower_delivery_client_management,annual expenditures associated with IT account managers or other similar personnel,floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
115,4.1.79,IT_Tower_delivery_operations_center,"annual expenditures associated with a centralized IT operations center, including monitoring and intervention activities",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
116,4.1.80,IT_Tower_security_compliance,annual expenditures associated with IT security compliance and disaster recovery,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
117,4.1.81,IT_Tower_security_compliance_security,"annual expenditures associated with establishing, implementing, and controlling security policy, processes, and means, determining compliance, responding to security breaches, and maintaining real-time operational security",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
118,4.1.82,IT_Tower_secuity_compliance_compliance,"annual expenditures associated with establishing, implementing, and controlling policy, processes, and means, and measuring compliance in accordance with legal and regulatory requirements",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
119,4.1.83,IT_Tower_security_compliance_dr,"annual expenditures associated with disaster recovery, including activities related to policy, processes, means, failover facilities, and testing",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
120,4.1.84,IT_Tower_IT_management,"annual expenditures associated with IT management and strategic planning, enterprise architecture, IT finance, and IT vendor management
",floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
121,4.1.85,IT_Tower_IT_management_IT_management_strategic_planning,"annual expenditures associated with IT management and strategic planning, typically including the CIO, senior IT leaders, and additional administrative support",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
122,4.1.86,IT_Tower_IT_management_enterprise_arch,"annual expenditures associated with enterprise architecture services, including activities to help standardize, integrate, and improve the efficiency of IT solutions",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
123,4.1.87,IT_Tower_IT_management_IT_finance,"annual expenditures associated with IT finance including planning, budgeting, spend management and chargeback of IT expenditures, and the costing of IT products and services",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
124,4.1.88,IT_Tower_IT_management_IT_vendor_management,"annual expenditures associated with IT vendor management, including vendor selection, contract management, oversight, and performance management",floating-point,0.00-100000000000.00,0.00-100000000000.00,no,600000,USD
125,4.1.89,certifications,annual expenditures related to employee certifications,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
126,4.1.90,reassignments,annual expenditures related to employee reassignments,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
127,4.1.91,HR,annual HR-related expenditures associated with onboarding new employees and leveraging HR offices for change management processes,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
128,4.1.92,IT_training,annual expenditures associated with training of current employees and hiring of new employees,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
129,4.1.93,software_patching,annual expenditures associated with manual software patching,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
130,4.1.94,ATO,annual expenditures associated with attaining ATO(s),floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
131,4.2.1,outlier,presence of cost outlier(s) in the application inventory,integer,"true
false","0
1",yes,1,1 confirms presence in the agency's IT portfolio
132,5.1.1,scoring_methodology,scoring methodology used to implement an application rationalization strategy,text,,,yes,"Gartner’s Tolerate, Invest, Migrate, Eliminate (TIME) methodology",Agency-determined methodology
133,5.2.1,application_score,agency-defined ranking or merit scale,integer,0-100000000000,0-100000000000,yes,5,In agency-determined format
134,5.3.1,communications_strategy,"creation of a communications strategy that enables stakeholders to learn about the scoring process, understand how information will be shared, and provide feedback",integer,"true
false","0
1",yes,1,
135,6.1.1,review,presence of applications with low business value and high technical fit,integer,"true
false","0
1",yes,1,1 confirms presence in the agency's IT portfolio
136,6.1.2,reward,presence of applications with high business value and high technical fit,integer,"true
false","0
1",yes,1,1 confirms presence in the agency's IT portfolio
137,6.1.3,refresh,presence of applications with high business value and low technical fit,integer,"true
false","0
1",yes,1,1 confirms presence in the agency's IT portfolio
138,6.1.4,remove,presence of applications with low business value and low technical fit,integer,"true
false","0
1",yes,1,1 confirms presence in the agency's IT portfolio
139,6.2.1,hosting_options,"determination of hosting options based on future-state TCO, improved service
delivery, and customer satisfaction",integer,"true
false","0
1",yes,1,
140,6.3.1,assessing_current-state_cost,annual up-front costs associated with assessing the current-state,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
141,6.3.2,planning_migration_costs,annual up-front costs associated with migration planning,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
142,6.3.3,stakeholder_costs,annual up-front costs associated with attaining stakeholder buy-in,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
143,6.3.4,parallel_systems_costs,annual up-front costs associated with running parallel systems,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
144,6.3.5,vendor_management_costs,annual up-front costs associated with vendor management,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
145,6.3.6,training_reskilling_costs,annual up-front costs associated with training and reskilling,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
146,6.3.7,refactoring_replatforming_cost,annual up-front costs associated with refactoring and replatforming existing applications,floating-point,0.00-100000000000.00,0.00-100000000000.00,yes,600000,USD
147,6.4.1,migration_strategy,"creation of an IT migration strategy that includes a communications strategy, a vendor management plan, a workforce development plan, and a migration timeline, and that attains buy-in from key stakeholders",integer,"true
false","0
1",yes,1,
